gene	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
SLC45A2	CHI3L1	6	173	-0.7224	0.1594	-0.8817	0.28527838300286634	0.9962269014109203	False
SACM1L	CD44	5	174	0.8239	-0.1904	1.0143	0.4294844113191032	0.9962269014109203	False
CGNL1	CD44	6	173	0.7442	-0.2227	0.9669	0.1659937616835278	0.9962269014109203	False
TSC1	CD44	8	171	1.1696	-0.2	1.3696	0.25023814579633585	0.9962269014109203	False
TSC1	CHI3L1	8	171	1.3111	0.1107	1.2004	0.2865825142775976	0.9962269014109203	False
IFIH1	CHI3L1	5	174	-2.9502	0.157	-3.1072	0.11413444975182085	0.9962269014109203	False
FANCD2	CD44	5	174	-0.8116	-0.1761	-0.6355	0.26582646274208094	0.9962269014109203	False
VWA2	CD44	5	174	2.4694	-0.2113	2.6807	0.028434034938781567	0.9962269014109203	False
FCGR3A	CD44	5	174	2.4694	-0.1904	2.6598	0.3264917205061621	0.9962269014109203	False
FYCO1	CD44	7	172	1.5153	-0.2113	1.7267	0.03215309779136921	0.9962269014109203	False
FYCO1	CHI3L1	7	172	1.1736	0.1231	1.0505	0.3658290146676177	0.9962269014109203	False
RGS9	CHI3L1	6	173	1.3632	0.1356	1.2275	0.359478426974611	0.9962269014109203	False
ITGA3	CD44	5	174	1.3908	-0.1904	1.5812	0.37593610172241126	0.9962269014109203	False
SLC6A12	CD44	9	170	0.8239	-0.2113	1.0353	0.21583309506838333	0.9962269014109203	False
SLC6A12	CHI3L1	9	170	1.5527	0.1452	1.4075	0.3204916627072304	0.9962269014109203	False
IMPG1	CHI3L1	6	173	1.0241	0.1107	0.9134	0.24718388151333806	0.9962269014109203	False
GAREM	CD44	6	173	1.6466	-0.2	1.8466	0.16851586517079958	0.9962269014109203	False
MYO7A	CD44	6	173	1.3159	-0.2	1.5159	0.28527838300286634	0.9962269014109203	False
SLC28A2	CD44	6	173	0.2389	-0.1808	0.4197	0.31522607478136194	0.9962269014109203	False
KLHL7	CD44	5	174	2.4694	-0.2113	2.6807	0.023727684709205648	0.9962269014109203	False
KLHL7	CHI3L1	5	174	1.1736	0.1231	1.0505	0.28517811506984103	0.9962269014109203	False
RPL5	CD44	6	173	-0.5039	-0.1798	-0.3241	0.35116949093605665	0.9962269014109203	False
RPL5	CHI3L1	6	173	-1.0858	0.1594	-1.2452	0.27101334059135096	0.9962269014109203	False
MUC16	CD44	47	132	-0.0111	-0.2248	0.2137	0.26574905529017956	0.9962269014109203	False
MUC16	CHI3L1	47	132	0.8745	0.0463	0.8282	0.3166088339473735	0.9962269014109203	False
ADAMTS7	CHI3L1	13	166	-0.8891	0.166	-1.055	0.34899275914414696	0.9962269014109203	False
PABPC1	CD44	13	166	0.5724	-0.2248	0.7972	0.1868164142437958	0.9962269014109203	False
CAND2	CD44	6	173	0.87	-0.2	1.07	0.3230080055731855	0.9962269014109203	False
CAND2	CHI3L1	6	173	1.3632	0.1356	1.2275	0.20966036554360343	0.9962269014109203	False
MICAL3	CD44	8	171	1.1232	-0.2	1.3231	0.09219085838514794	0.9962269014109203	False
LPHN2	CD44	6	173	-0.7053	-0.1724	-0.5329	0.2889184820549116	0.9962269014109203	False
MICAL3	CHI3L1	8	171	2.2815	0.1107	2.1709	0.07534069210904208	0.9962269014109203	False
ZNF229	CD44	6	173	-0.5789	-0.1798	-0.3991	0.31522607478136194	0.9962269014109203	False
