pathway_id	pathway_name	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
R-HSA-168325	Viral Messenger RNA Synthesis	CHI3L1	14	165	-0.1902	0.1726	-0.3628	0.9336381476657398	0.9958970300880995	False
R-HSA-168325	Viral Messenger RNA Synthesis	CD44	14	165	-0.3981	-0.1724	-0.2257	0.6004281385485983	0.9958970300880995	False
R-HSA-170822	Regulation of Glucokinase by Glucokinase Regulatory Protein	CHI3L1	12	167	-0.0306	0.1594	-0.19	0.8197817894850296	0.9958970300880995	False
R-HSA-170822	Regulation of Glucokinase by Glucokinase Regulatory Protein	CD44	12	167	-0.3276	-0.1798	-0.1478	0.9013102366487363	0.9958970300880995	False
R-HSA-159231	Transport of Mature mRNA Derived from an Intronless Transcript	CHI3L1	22	157	0.7624	0.1356	0.6268	0.1684173575429181	0.9958970300880995	False
R-HSA-159231	Transport of Mature mRNA Derived from an Intronless Transcript	CD44	22	157	0.2739	-0.2227	0.4966	0.37839284031724163	0.9958970300880995	False
R-HSA-159227	Transport of the SLBP independent Mature mRNA	CHI3L1	22	157	0.7624	0.1356	0.6268	0.1684173575429181	0.9958970300880995	False
R-HSA-159227	Transport of the SLBP independent Mature mRNA	CD44	22	157	0.2739	-0.2227	0.4966	0.37839284031724163	0.9958970300880995	False
R-HSA-170984	ARMS-mediated activation	CHI3L1	10	169	0.0177	0.1547	-0.137	0.9025232501776794	0.9958970300880995	False
R-HSA-170984	ARMS-mediated activation	CD44	10	169	-0.3956	-0.1798	-0.2158	0.8137990578966938	0.9958970300880995	False
R-HSA-5674499	Negative feedback regulation of MAPK pathway	CHI3L1	6	173	-0.7228	0.1726	-0.8954	0.18693597878575938	0.9958970300880995	False
R-HSA-5674499	Negative feedback regulation of MAPK pathway	CD44	6	173	-0.5588	-0.1798	-0.379	0.7337582348104458	0.9958970300880995	False
R-HSA-5674135	MAP2K and MAPK activation	CHI3L1	18	161	0.2349	0.1547	0.0802	0.7680155272637927	0.9958970300880995	False
R-HSA-5674135	MAP2K and MAPK activation	CD44	18	161	0.2024	-0.2	0.4024	0.29464378943016334	0.9958970300880995	False
R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	CHI3L1	21	158	-0.4048	0.157	-0.5618	0.7759229887666312	0.9958970300880995	False
R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	CD44	21	158	-0.008	-0.1904	0.1824	0.3185962086985332	0.9958970300880995	False
R-HSA-9649948	Signaling downstream of RAS mutants	CHI3L1	21	158	-0.4048	0.157	-0.5618	0.7759229887666312	0.9958970300880995	False
R-HSA-9649948	Signaling downstream of RAS mutants	CD44	21	158	-0.008	-0.1904	0.1824	0.3185962086985332	0.9958970300880995	False
R-HSA-9726842	Gain-of-function MRAS complexes activate RAF signaling	CHI3L1	9	170	-0.4048	0.157	-0.5618	0.7639141987398452	0.9958970300880995	False
R-HSA-9726842	Gain-of-function MRAS complexes activate RAF signaling	CD44	9	170	-0.5185	-0.1803	-0.3382	0.9080351775313281	0.9958970300880995	False
R-HSA-1295596	Spry regulation of FGF signaling	CHI3L1	28	151	-0.5882	0.3844	-0.9726	0.27571012362526326	0.9958970300880995	False
R-HSA-1295596	Spry regulation of FGF signaling	CD44	28	151	0.1385	-0.2	0.3385	0.6723690727187304	0.9958970300880995	False
R-HSA-9726840	SHOC2 M1731 mutant abolishes MRAS complex function	CHI3L1	9	170	-0.4048	0.157	-0.5618	0.7639141987398452	0.9958970300880995	False
R-HSA-9726840	SHOC2 M1731 mutant abolishes MRAS complex function	CD44	9	170	-0.5185	-0.1803	-0.3382	0.9080351775313281	0.9958970300880995	False
R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	CHI3L1	18	161	0.2349	0.1547	0.0802	0.7680155272637927	0.9958970300880995	False
R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	CD44	18	161	0.2024	-0.2	0.4024	0.29464378943016334	0.9958970300880995	False
R-HSA-187706	Signalling to p38 via RIT and RIN	CHI3L1	7	172	-0.4048	0.157	-0.5618	0.49001582973895147	0.9958970300880995	False
R-HSA-187706	Signalling to p38 via RIT and RIN	CD44	7	172	-0.5185	-0.1761	-0.3424	0.6071148974056653	0.9958970300880995	False
R-HSA-73863	RNA Polymerase I Transcription Termination	CHI3L1	5	174	0.8745	0.1452	0.7294	0.8886538639219957	0.9958970300880995	False
R-HSA-5673000	RAF activation	CD44	22	157	0.062	-0.2	0.262	0.44329856772252596	0.9958970300880995	False
